2;1;-1;-1;-1;-1;-1;1
5;1;-1;-1;-1;-1;-1;1
7;1;-1;-1;-1;-1;-1;1
9;1;-1;-1;-1;-1;-1;1
12;1;-1;-1;-1;-1;-1;1
13;1;-1;-1;1;-1;-1;1
16;1;-1;-1;1;-1;-1;1
18;1;-1;-1;-1;-1;-1;1
20;1;-1;-1;1;-1;-1;1
21;1;-1;-1;-1;-1;-1;1
22;1;1;1;1;-1;-1;1
26;1;1;1;1;-1;-1;1
27;1;1;1;1;-1;-1;1
28;1;-1;-1;-1;-1;-1;1
30;1;1;1;1;-1;-1;1
32;1;-1;-1;1;-1;-1;1
33;1;1;1;1;-1;-1;1
34;1;1;1;1;-1;-1;1
35;1;1;1;1;-1;-1;1
46;1;-1;-1;1;-1;-1;1
47;1;-1;-1;-1;-1;-1;1
48;1;-1;-1;-1;-1;-1;1
49;1;1;-1;1;-1;-1;1
53;1;1;1;1;-1;-1;1
54;1;-1;-1;1;-1;-1;1
55;1;1;1;1;-1;-1;1
56;1;1;1;1;-1;-1;1
58;1;-1;-1;-1;-1;-1;1
59;1;1;1;1;-1;-1;1
60;1;1;1;1;-1;-1;1
61;1;-1;-1;-1;-1;-1;1
62;1;1;1;1;-1;-1;1
63;1;1;1;1;-1;-1;1
64;1;-1;-1;1;-1;-1;1
65;1;-1;-1;-1;-1;-1;1
68;1;1;1;1;-1;-1;1
70;-1;1;-1;1;-1;-1;1
71;-1;-1;-1;-1;-1;-1;1
74;-1;1;-1;1;-1;-1;1
75;1;-1;1;1;-1;-1;1
78;-1;1;1;1;-1;-1;1
80;-1;-1;-1;-1;-1;-1;1
81;1;1;-1;1;-1;-1;1
82;-1;1;-1;-1;-1;-1;1
85;-1;1;-1;1;-1;-1;1
88;1;1;1;1;-1;-1;1
89;-1;1;-1;1;-1;-1;1
91;-1;1;-1;1;-1;-1;1
93;1;-1;-1;-1;-1;-1;1
96;1;-1;1;1;-1;-1;1
97;-1;-1;-1;-1;-1;-1;1
99;-1;1;-1;1;-1;-1;1
100;-1;1;-1;-1;-1;-1;1
103;1;-1;-1;-1;-1;-1;1
104;1;-1;-1;-1;-1;-1;1
107;1;-1;-1;-1;-1;-1;1
108;1;-1;-1;-1;-1;-1;1
109;1;1;-1;1;-1;-1;1
112;1;1;-1;1;-1;-1;1
113;1;1;-1;1;-1;-1;1
115;1;1;-1;1;-1;-1;1
116;1;1;-1;1;-1;-1;1
118;1;1;-1;1;-1;-1;1
121;-1;1;-1;1;-1;-1;1
125;-1;-1;-1;-1;-1;-1;1
126;-1;-1;-1;-1;-1;-1;1
130;-1;-1;-1;-1;-1;-1;1
138;1;1;1;1;-1;-1;1
140;-1;-1;-1;-1;-1;-1;-1
144;1;-1;-1;1;-1;-1;1
145;1;-1;-1;-1;-1;-1;-1
146;-1;-1;-1;-1;-1;-1;-1
148;1;1;-1;1;-1;-1;1
152;1;1;-1;1;-1;-1;1
154;-1;-1;-1;-1;-1;-1;-1
156;1;1;1;1;-1;-1;1
159;1;1;-1;1;-1;-1;1
160;1;1;-1;1;-1;-1;1
161;1;-1;-1;-1;-1;-1;-1
162;1;1;-1;1;-1;-1;1
165;1;-1;-1;-1;-1;-1;-1
167;1;1;1;1;-1;-1;1
169;1;-1;-1;1;-1;-1;-1
170;1;1;-1;1;-1;-1;1
174;-1;-1;-1;-1;-1;-1;-1
176;-1;-1;-1;-1;-1;-1;-1
179;1;-1;-1;1;-1;-1;-1
182;1;1;-1;1;-1;-1;1
184;1;1;-1;1;-1;-1;1
186;1;1;1;1;-1;-1;1
187;1;-1;-1;1;-1;-1;-1
189;1;-1;-1;-1;-1;-1;-1
190;1;1;-1;1;-1;-1;1
193;1;1;1;1;-1;-1;1
195;1;-1;-1;-1;-1;-1;-1
196;1;1;1;1;-1;-1;1
198;-1;-1;-1;-1;-1;-1;-1
200;1;1;-1;1;-1;-1;1
201;1;1;-1;1;-1;-1;1
202;1;-1;-1;-1;-1;-1;-1
203;1;-1;-1;-1;-1;-1;-1
207;-1;-1;-1;-1;-1;-1;-1
211;1;-1;-1;1;-1;-1;1
215;1;1;-1;1;-1;-1;1
217;1;1;1;1;-1;-1;1
218;1;1;-1;-1;-1;-1;1
219;1;1;-1;1;-1;-1;1
220;1;-1;-1;-1;-1;-1;-1
221;-1;-1;-1;-1;-1;-1;-1
223;1;1;1;1;-1;-1;1
224;1;1;-1;-1;-1;-1;1
226;1;1;-1;1;-1;-1;1
232;1;-1;-1;-1;-1;-1;-1
236;1;-1;-1;1;-1;-1;-1
237;1;1;-1;-1;-1;-1;1
243;1;-1;-1;1;-1;-1;1
244;1;-1;-1;-1;-1;-1;-1
247;1;-1;-1;-1;-1;-1;1
249;1;1;-1;-1;-1;-1;1
253;-1;-1;-1;-1;-1;-1;-1
254;1;-1;-1;1;-1;-1;-1
255;1;1;-1;-1;-1;-1;1
259;1;-1;-1;-1;-1;-1;1
261;1;-1;-1;-1;-1;-1;1
266;1;1;-1;-1;-1;-1;1
270;-1;-1;-1;-1;-1;-1;-1
272;-1;-1;-1;-1;-1;-1;-1
276;-1;-1;-1;-1;-1;-1;-1
280;1;1;1;1;-1;-1;1
281;1;1;-1;-1;-1;-1;1
284;-1;-1;-1;-1;-1;-1;-1
288;1;1;-1;1;-1;-1;1
289;1;1;-1;1;-1;-1;1
292;1;1;-1;1;-1;-1;1
294;-1;-1;-1;-1;-1;-1;-1
296;1;-1;-1;1;-1;-1;1
299;1;-1;-1;1;-1;-1;-1
331;1;1;1;1;-1;-1;1
332;-1;-1;-1;-1;-1;-1;-1
333;-1;-1;-1;-1;-1;-1;-1
334;-1;-1;-1;-1;-1;-1;-1
335;-1;-1;-1;-1;-1;-1;-1
337;-1;-1;-1;-1;-1;-1;-1
342;-1;-1;-1;-1;-1;-1;-1
343;-1;-1;-1;-1;-1;-1;-1
344;-1;-1;-1;1;-1;-1;-1
347;-1;-1;-1;-1;-1;-1;-1
349;-1;-1;-1;-1;-1;-1;-1
354;-1;-1;-1;1;-1;-1;-1
357;-1;-1;-1;-1;-1;-1;-1
358;-1;-1;-1;-1;-1;-1;-1
387;-1;-1;-1;-1;-1;-1;-1
388;-1;-1;-1;-1;-1;-1;-1
393;-1;-1;-1;-1;-1;-1;-1
396;-1;-1;-1;-1;-1;-1;-1
401;-1;-1;-1;-1;-1;-1;-1
403;-1;-1;-1;-1;-1;-1;-1
